frame,timestamp_s,object_id,lane_id,centroid_x,centroid_y
85,8.50,6,0,459,315
316,31.60,36,0,364,313
329,32.90,40,0,360,319
435,43.50,48,0,522,276
635,63.50,74,0,281,106
659,65.90,71,0,374,207
678,67.80,77,0,324,165
689,68.90,66,0,507,296
754,75.40,88,0,324,202
881,88.10,103,0,315,157
965,96.50,106,0,310,196
1021,102.10,117,0,254,169
1055,105.50,119,0,369,199
1109,110.90,124,0,308,154
1240,124.00,146,0,375,294
1255,125.50,147,0,327,198
1372,137.20,158,0,309,149
1432,143.20,164,0,328,167
1669,166.90,185,0,330,228
1671,167.10,197,0,295,242
1689,168.90,198,0,312,153
